Lon Lat HF
8.925000 28.728300 81.000000
0.631700 27.721700 90.000000
8.300000 29.450000 82.000000
5.123300 33.320000 74.000000
5.646700 33.415000 76.000000
4.688300 32.776700 68.000000
4.743300 30.893300 71.000000
6.755000 30.726700 72.000000
7.948300 31.716700 69.000000
5.915000 31.135000 86.000000
-6.781700 27.373300 85.000000
-6.228300 27.655000 79.000000
-0.980000 26.361700 83.000000
7.051700 31.533300 76.000000
8.543300 31.190000 68.000000
2.131700 28.048300 100.000000
2.150000 28.000000 108.000000
2.066700 28.166700 111.000000
2.066700 28.085000 117.000000
-0.663300 33.200000 86.000000
1.871700 29.655000 104.000000
6.241700 29.295000 107.000000
7.640000 31.966700 73.000000
4.318300 30.056700 72.000000
-0.133300 28.018300 83.000000
-0.131700 28.148300 94.000000
6.700000 31.838300 86.000000
5.803300 31.411700 83.000000
9.051700 27.308300 108.000000
3.610000 32.210000 65.000000
4.573300 29.913300 100.000000
9.841700 27.921700 92.000000
9.895000 27.928300 105.000000
0.621700 28.406700 105.000000
-0.300000 31.990000 77.000000
2.100000 21.633300 51.000000
2.016700 21.650000 56.000000
7.108300 30.345000 93.000000
2.250000 25.950000 113.000000
2.138300 26.171700 121.000000
6.025000 33.018300 56.000000
2.533300 28.250000 86.000000
2.666700 28.416700 95.000000
2.500000 28.333300 98.000000
2.216700 28.100000 101.000000
2.546700 28.391700 95.000000
-0.045000 26.993300 74.000000
7.345000 28.778300 80.000000
2.995000 26.008300 107.000000
7.138300 26.798300 126.000000
0.058300 29.185000 121.000000
9.000000 22.000000 41.000000
9.000000 22.000000 39.000000
9.000000 22.000000 39.000000
9.000000 22.000000 41.000000
7.103300 21.635000 44.000000
7.033300 21.838300 43.000000
7.405000 21.368300 45.000000
6.851700 21.625000 52.000000
6.851700 21.625000 59.000000
5.500000 22.533300 63.000000
7.358300 21.300000 56.000000
7.358300 21.300000 50.000000
-0.116700 27.033300 90.000000
2.500000 21.500000 23.000000
2.500000 21.500000 25.000000
1.370000 27.251700 93.000000
3.016700 28.678300 95.000000
3.725000 27.300000 108.000000
9.261700 28.671700 76.000000
7.790000 27.153300 94.000000
7.948300 28.813300 72.000000
8.433300 27.361700 94.000000
7.835000 27.880000 71.000000
-0.208300 25.586700 119.000000
2.616700 33.083300 76.000000
7.533300 32.950000 76.000000
8.043300 31.286700 54.000000
7.316700 33.591700 60.000000
8.091700 31.841700 67.000000
-7.328300 29.120000 115.000000
3.126700 26.901700 109.000000
5.235000 33.540000 64.000000
2.536700 29.463300 80.000000
2.616700 29.533300 85.000000
2.255000 29.415000 95.000000
1.966700 37.200000 132.000000
-7.033300 29.116700 117.000000
2.793300 37.168300 95.000000
-0.375000 36.795000 81.000000
1.266700 37.481700 89.600000
-1.488300 36.296700 121.000000
-1.431700 36.300000 111.000000
-1.328300 36.301700 104.000000
-1.190000 36.291700 115.000000
-1.100000 36.296700 129.000000
-1.998300 35.883300 116.000000
-1.933300 35.873300 115.000000
-8.414200 28.729700 85.000000
-7.000600 29.001900 117.000000
0.800000 37.275000 136.900000
0.599000 36.847000 79.800000
0.599000 36.901000 133.000000
0.460000 37.076000 117.700000
0.697000 36.767000 107.700000
0.716000 36.697000 179.900000
0.774000 36.627000 118.700000
-0.261000 36.204000 87.100000
-0.304000 36.292000 123.400000
-0.414000 36.533000 116.100000
-0.414000 36.533000 102.100000
-0.671000 36.629000 105.500000
-1.120000 36.522000 89.500000
-0.949000 36.560000 73.800000
-0.943000 36.559000 86.100000
-1.262800 36.193000 78.500000
-1.215000 36.113000 92.500000
-1.173000 36.035000 84.800000
-1.102000 35.954000 80.500000
-1.702000 36.053000 83.100000
-1.722000 36.021000 73.500000
-1.962000 35.697000 68.600000
-1.960000 35.667000 91.600000
-1.922000 35.593000 87.900000
-1.926000 35.593000 86.200000
0.763000 37.368000 86.500000
-1.042000 36.543000 89.100000
-1.335000 36.254000 90.300000
6.148000 38.722000 71.000000
6.102000 38.718000 75.000000
2.403200 37.803500 91.230000
2.237200 37.695600 83.270000
2.245700 37.683900 82.020000
2.248800 37.685100 130.350000
-172.078000 -11.833300 49.800000
-171.098000 -11.056700 73.700000
-171.283000 -16.266700 44.000000
-170.496000 -16.621700 54.800000
13.400000 -11.918300 42.000000
12.752900 -6.779000 39.600000
12.066200 -7.110400 44.100000
11.712000 -5.882100 45.100000
11.628600 -5.572400 45.800000
11.927800 -6.195600 46.800000
11.679700 -5.589600 46.800000
11.714200 -5.827300 46.900000
11.656700 -5.850800 46.900000
11.684600 -5.577600 46.900000
11.814500 -5.658500 47.000000
11.814500 -5.658500 47.000000
12.009000 -6.201600 47.100000
11.708300 -5.603300 47.100000
11.708300 -5.602700 47.100000
12.098500 -5.737200 47.300000
11.655700 -5.530100 47.400000
11.744000 -5.574000 47.500000
11.705200 -5.804300 47.500000
11.719100 -5.556500 47.600000
11.692700 -5.806900 47.700000
12.012300 -5.743700 47.700000
11.826200 -5.781400 47.800000
11.771100 -5.690000 47.800000
