Lon,Lat,HF [mW/m2],HF_min [mW/m2],HF_max [mW/m2],HF_max_abs [mW/m2]
158.4,-86.0,58.748000000000005,58.748000000000005,64.218,5.47
165.6,-86.0,59.543,57.108999999999995,61.07,3.9610000000000003
172.8,-86.0,55.576,55.367,56.309,0.9420000000000001
180.0,-86.0,61.728,48.755,61.728,12.972999999999999
-180.0,-85.5,58.047,53.672,58.442,4.77
-173.68400000000003,-85.5,59.961999999999996,50.268,66.143,15.875
-167.368,-85.5,66.943,58.233000000000004,67.64,9.407
-161.053,-85.5,61.022,61.022,66.59899999999999,5.577000000000001
-154.737,-85.5,72.123,65.043,72.123,7.08
-148.421,-85.5,68.66199999999999,63.619,68.66199999999999,5.043
-142.105,-85.5,71.693,64.65100000000001,71.693,7.042000000000001
-135.789,-85.5,62.508,52.98,66.726,13.745999999999999
-129.474,-85.5,56.202,48.193999999999996,59.754,11.56
-123.15799999999999,-85.5,62.69,56.236000000000004,64.294,8.058
-116.84200000000001,-85.5,63.788999999999994,59.202,65.808,6.606
-110.52600000000001,-85.5,67.548,60.96,71.778,10.818
-104.211,-85.5,59.912,59.431000000000004,64.987,5.556
-97.895,-85.5,62.401,60.032,70.617,10.585
-91.579,-85.5,65.51899999999999,63.743,72.10600000000001,8.363
-85.26299999999999,-85.5,69.003,68.249,73.615,5.3660000000000005
-78.947,-85.5,67.847,67.847,71.015,3.168
-72.632,-85.5,64.369,61.519,72.084,10.565
-66.316,-85.5,55.903999999999996,55.903999999999996,66.861,10.957
-60.0,-85.5,52.766000000000005,52.766000000000005,62.321999999999996,9.556000000000001
-53.684,-85.5,53.29,53.29,66.355,13.065
-47.368,-85.5,50.278999999999996,50.278999999999996,65.78699999999999,15.508
-41.053000000000004,-85.5,51.343,51.343,63.562,12.219000000000001
-34.736999999999995,-85.5,62.099,57.894,67.232,9.338
-28.421,-85.5,58.048,55.65,66.85600000000001,11.206
-22.105,-85.5,60.56399999999999,58.556000000000004,66.737,8.181000000000001
-15.789000000000001,-85.5,58.975,55.403,63.508,8.105
-9.474,-85.5,54.667,52.56100000000001,61.271,8.71
-3.158,-85.5,57.471000000000004,52.662,60.6,7.938
3.158,-85.5,55.321999999999996,52.966,60.276,7.31
9.474,-85.5,58.503,57.277,65.505,8.228
15.789000000000001,-85.5,57.472,57.472,62.01,4.538
22.105,-85.5,56.532,55.692,66.594,10.902000000000001
28.421,-85.5,61.053999999999995,55.027,61.867,6.84
34.736999999999995,-85.5,58.021,53.768,61.43,7.662000000000001
41.053000000000004,-85.5,59.213,54.038000000000004,59.213,5.175
47.368,-85.5,62.678999999999995,52.225,62.678999999999995,10.454
53.684,-85.5,53.533,52.378,56.076,3.698
60.0,-85.5,53.371,51.159,54.911,3.752
66.316,-85.5,51.31,48.928999999999995,54.34,5.4110000000000005
72.632,-85.5,56.443999999999996,51.599,58.56,6.961
78.947,-85.5,65.992,57.854,69.148,11.294
85.26299999999999,-85.5,63.82899999999999,56.775,64.415,7.64
91.579,-85.5,64.391,58.248999999999995,64.391,6.142
97.895,-85.5,67.80199999999999,59.012,67.80199999999999,8.79
104.211,-85.5,64.437,56.6,64.437,7.837000000000001
110.52600000000001,-85.5,62.368,55.68,62.46,6.78
116.84200000000001,-85.5,64.34899999999999,58.246,64.34899999999999,6.103
123.15799999999999,-85.5,63.989,60.012,63.989,3.977
129.474,-85.5,63.331,59.841,64.753,4.912
135.789,-85.5,64.292,61.358000000000004,67.816,6.457999999999999
142.105,-85.5,67.455,62.03,68.925,6.895
148.421,-85.5,66.303,62.103,72.457,10.354000000000001
154.737,-85.5,59.644,59.144,65.76,6.6160000000000005
161.053,-85.5,61.388999999999996,59.218999999999994,61.388999999999996,2.17
167.368,-85.5,60.847,53.013000000000005,60.847,7.834
173.68400000000003,-85.5,61.503,54.573,61.503,6.93
180.0,-85.5,58.047,53.672,58.442,4.77
